"","maeCorr","maeEuclid","maeDtw","userQtd"
"1",0.00367240634992569,0.00352686101081195,0.00398312118301589,1
"2",0.00364178885957715,0.00347197464557662,0.00389087983129864,2
"3",0.00364861450159647,0.00345337810047117,0.0038947355225661,3
"4",0.00361348611437356,0.00345576849541206,0.0039242282953882,4
"5",0.00362171313027021,0.00350824174543063,0.00396150501044412,5
"6",0.00371490281984959,0.00349726926025228,0.00398896406266594,6
"7",0.00374410149133373,0.00353027854763404,0.00398970252925386,7
"8",0.00351472618943824,0.00337482426949112,0.00375588211294582,8
"9",0.00365766671470663,0.00349576269215101,0.00393831930608779,9
"10",0.00371204306594834,0.00348617742136864,0.00394209320221261,10
"11",0.00357030574445067,0.00339221393801079,0.00382526736304371,11
"12",0.0036339103020582,0.00345276280614675,0.00397982495494315,12
"13",0.00367832280601918,0.00352614831148977,0.00398563684542851,13
"14",0.0036429784786966,0.00344903955695436,0.00393043682908572,14
"15",0.00361682000482768,0.00340215361900148,0.00392635832523128,15
"16",0.00356905858868779,0.00340475015865777,0.00384535181009598,16
"17",0.00363655712607457,0.003414098547851,0.0038590377062483,17
"18",0.00362468460218503,0.00343242975593746,0.00397075931398276,18
"19",0.00367782935824949,0.00350748610381652,0.00393375023302017,19
"20",0.00359555631629867,0.00344800766433164,0.00388038655452457,20
"21",0.00359665406221539,0.00343838616290286,0.00389332569936932,21
"22",0.0036343689755022,0.00342069411056306,0.0039442363561318,22
"23",0.00367278428354972,0.00351533061415867,0.00396197979231123,23
"24",0.00358868575981802,0.00341286712725385,0.00382661582276371,24
"25",0.00363592743227272,0.00347039383957181,0.0039527804676424,25
"26",0.00366763188497878,0.0034921495083046,0.00393916703695048,26
"27",0.00365687628083153,0.00350224537605553,0.00391387424143621,27
"28",0.00364543607894951,0.00348601304550846,0.00386757952005852,28
"29",0.00362453891602372,0.00342275162306159,0.00393134235401616,29
"30",0.00367961096785323,0.00348965175947835,0.00401683187416923,30
