"","maeCorr","maeEuclid","maeDtw","userQtd"
"1",0.00334644531608357,0.00308328087835477,0.00355388986272834,1
"2",0.00319395367939547,0.00298122981047142,0.00332075995269321,2
"3",0.00322133527713595,0.00296566034007838,0.00343520395724453,3
"4",0.00319282974766033,0.00299719500283233,0.00335640420568379,4
"5",0.00336655716068563,0.00312204503458734,0.00361280268838497,5
"6",0.00353452898331995,0.00313724691748359,0.0035879099566073,6
"7",0.00340806246057928,0.00316323314226698,0.00349222501691761,7
"8",0.00338466480456408,0.00299712040819083,0.00344871570089104,8
"9",0.00340028965604695,0.00308208379945093,0.00362869718943543,9
"10",0.00321800046258572,0.00299459632518577,0.00345610421875992,10
"11",0.0032647639190967,0.00313973678270756,0.00364187670216985,11
"12",0.0031294630457863,0.00302039468415076,0.00342338307538045,12
"13",0.00319377046954487,0.00301029837646448,0.00345340941686018,13
"14",0.00325961953623043,0.00301257456590648,0.00347804812384759,14
"15",0.00333076875682922,0.00305350131398239,0.00348704682082682,15
"16",0.0035048976730924,0.00317027028182828,0.00343095248841092,16
"17",0.00336168132864144,0.00310466828005581,0.00353540984447561,17
"18",0.00332602201023858,0.00308157936237238,0.00342222226331313,18
"19",0.00315309825573452,0.00298677577120882,0.00356787807992137,19
"20",0.00334329277561535,0.00303317589421142,0.00352544979155762,20
"21",0.0033059278876987,0.0031051195566866,0.0034954143866302,21
"22",0.00336450400271921,0.00312652653262389,0.00364903600083889,22
"23",0.00316720422233656,0.00298563507858759,0.0033351159809114,23
"24",0.00337819014897196,0.0031625121797114,0.00369620725344282,24
"25",0.00323579233944346,0.00291847944971259,0.00338769093031057,25
"26",0.00336232152119359,0.00317698122221297,0.0036595065921729,26
"27",0.00325260093330321,0.00295966398363059,0.00329595574746943,27
"28",0.00330328623818225,0.00314281999208953,0.00348900058938199,28
"29",0.00322277723637428,0.00296418756861537,0.00338983477380409,29
"30",0.00339499288620452,0.00312872545900945,0.00352142759044414,30
