"","silhouetteCorr","silhouetteEuclid","silhouetteDtw","usersQtd"
"1",0.0688278869475377,0.0803111732024783,0.0676080278081081,1
"2",0.0661815856074314,0.0790100544746597,0.0577970874632678,2
"3",0.0694501855062728,0.0762734795443865,0.067996006484503,3
"4",0.0668639132008033,0.0803822022970045,0.0647490646787134,4
"5",0.0690616169221814,0.0820886332951849,0.0657887252904522,5
"6",0.0741942320879622,0.0816030204827272,0.0681472397583024,6
"7",0.0693331308827298,0.0817181827657492,0.07322090348932,7
"8",0.0747238947461315,0.092885589200763,0.0715567716452776,8
"9",0.0689872862503373,0.0760689822007188,0.0712281709299707,9
"10",0.0730850603155817,0.0787685294816074,0.0653465550912755,10
"11",0.0675259482336563,0.0831107200305933,0.072947514929413,11
"12",0.0691596333644778,0.0848953899624642,0.067322050061606,12
"13",0.0726381614519442,0.0789735049842192,0.0671549372577636,13
"14",0.0686802893525319,0.0836600962847382,0.0677264434371806,14
"15",0.0713411492777758,0.0773095790528942,0.0711432232812762,15
"16",0.0695754775352552,0.0898639173148667,0.0738716048592159,16
"17",0.0727642574665336,0.0791468629952669,0.069445551104921,17
"18",0.0736218227851402,0.0830714658937098,0.0664297153785496,18
"19",0.0696258167667192,0.0796845196410269,0.0690764154298198,19
"20",0.0677369841202961,0.0784645996561304,0.0697135384809963,20
"21",0.0719928195307559,0.0874218049734447,0.0701456520924365,21
"22",0.0712292587163224,0.0791334195150761,0.0725843789982269,22
"23",0.063393192066733,0.0759871129911886,0.0720086021449535,23
"24",0.0778674385161027,0.0870903154686894,0.069260900803448,24
"25",0.0737952555392631,0.0835363621804739,0.0717054591364387,25
"26",0.0695105194079878,0.0681205073474698,0.0652171497742413,26
"27",0.0681496615481958,0.0869881128323156,0.0689079341271834,27
"28",0.0657382943519969,0.0782655559243962,0.0680133443018992,28
"29",0.0686676673581786,0.0779762296245387,0.061093829350178,29
"30",0.0692485582326093,0.0847283237118274,0.0778271040418141,30
