"","silhouetteCorr","silhouetteEuclid","silhouetteDtw","usersQtd"
"1",0.218019761330817,0.21398128637154,0.18607476660754,1
"2",0.210526265734242,0.209950788862853,0.170306449511402,2
"3",0.242179371912225,0.230619869337402,0.188213413377484,3
"4",0.206862172046275,0.218290521074861,0.170486866105716,4
"5",0.221323599433783,0.231748228782706,0.178470094895934,5
"6",0.228123267934258,0.228033039008716,0.180569185748872,6
"7",0.224941798573871,0.220632938545111,0.181485986555871,7
"8",0.207557376032763,0.204372972283324,0.164797889208556,8
"9",0.231577293978728,0.223759982992747,0.191708716003657,9
"10",0.230043044361396,0.223721788893225,0.198507105833441,10
"11",0.215175121175493,0.219725107341362,0.187101157515946,11
"12",0.225462304042877,0.218402342284068,0.176853027174294,12
"13",0.232025361940866,0.229917794313919,0.167051538914126,13
"14",0.228210762244161,0.221429430385845,0.179042005528862,14
"15",0.222210533091518,0.235267378442808,0.181534176383893,15
"16",0.220111846384457,0.220651314548574,0.173211628597354,16
"17",0.236707318075139,0.236809621428853,0.180197208885473,17
"18",0.214613378897636,0.21733628394453,0.188142640888638,18
"19",0.232240046824564,0.236540918904092,0.190210345833058,19
"20",0.226980635730556,0.223945079326123,0.180361364159718,20
"21",0.219962609782265,0.217985945277077,0.212712071826725,21
"22",0.223652310165306,0.235076058611192,0.172210194016923,22
"23",0.244405621844921,0.240332893104484,0.182398824591989,23
"24",0.202463253541358,0.212088566288572,0.171064338201087,24
"25",0.232867055643789,0.237751252311204,0.204832520062674,25
"26",0.206071396234901,0.211578208287897,0.164171648031252,26
"27",0.226037142827927,0.22501449495632,0.189993579816338,27
"28",0.226422605267973,0.224514411549973,0.20804822454241,28
"29",0.22237648341088,0.226158110793011,0.176478572190176,29
"30",0.244768095499092,0.242823965608112,0.19371242456767,30
