"","silhouetteCorr","silhouetteEuclid","silhouetteDtw","usersQtd"
"1",0.131807296028683,0.21110547134556,0.143571179641234,1
"2",0.149375703732602,0.229989411021797,0.135589718845087,2
"3",0.136627569047343,0.216145260373276,0.129383383833113,3
"4",0.128989758314348,0.215353062594688,0.131463437277736,4
"5",0.116345798622842,0.192936200697834,0.130367377388188,5
"6",0.126968808916347,0.198942295383593,0.131762529042258,6
"7",0.149069706531457,0.218269808586261,0.147614921053491,7
"8",0.111041050476844,0.202474338755511,0.153940719564942,8
"9",0.150215766837854,0.222282617703488,0.150495962176544,9
"10",0.137480162754844,0.218208382279637,0.12131969161277,10
"11",0.115338815836862,0.201680637644109,0.139595698464947,11
"12",0.131333563492017,0.211282112578246,0.140169639219298,12
"13",0.131416047376845,0.196913757877423,0.125244953384408,13
"14",0.128259804691694,0.209837887109192,0.124542025595964,14
"15",0.148494648184755,0.227027544068788,0.132151281725613,15
"16",0.120562777342703,0.21245335297217,0.133353248181442,16
"17",0.135903577383098,0.2145692951773,0.141745032592728,17
"18",0.133104914201389,0.223315182124021,0.136730709497152,18
"19",0.15330473623789,0.224505221634162,0.14905681463221,19
"20",0.119799242849938,0.193943272776042,0.126684370649491,20
"21",0.118806177309743,0.215962510836612,0.144099421694422,21
"22",0.103679690890043,0.203238900827159,0.134737847397681,22
"23",0.159317197640145,0.237824179251351,0.160552384535718,23
"24",0.130850152937644,0.220722122566497,0.140801083474776,24
"25",0.123507900528556,0.208201513078422,0.125658921750959,25
"26",0.129200900627476,0.217006954206816,0.143491278510977,26
"27",0.115545108448608,0.20586987368622,0.141924617409607,27
"28",0.124532983656025,0.214482991699602,0.130257584215686,28
"29",0.132013489920361,0.219048570177066,0.149306636703159,29
"30",0.142479252144318,0.218191588484571,0.141479754576623,30
